Scode,itercount,acc_test,val,margin,period

WTI,0,0.31268883,[0],8,1
WTI,1,0.30664653,[0],8,1
WTI,2,0.30362538,[0],8,1
WTI,3,0.31570998,[0],8,1
WTI,4,0.3141994,[0],8,1
CVI,0,0.38358778,[0],8,1
CVI,1,0.38358778,[0],8,1
CVI,2,0.38931298,[0],8,1
CVI,3,0.38549617,[0],8,1
CVI,4,0.38358778,[0],8,1
HIL,0,0.34745762,[0],8,1
HIL,1,0.36610168,[0],8,1
HIL,2,0.3457627,[0],8,1
HIL,3,0.34406778,[0],8,1
HIL,4,0.31694916,[0],8,1
REN,0,0.36533958,[0],8,1
REN,1,0.39578456,[0],8,1
REN,2,0.41920376,[0],8,1
REN,3,0.39578456,[0],8,1
REN,4,0.37236533,[0],8,1
CLF,0,0.3036849,[0],8,1
CLF,1,0.31130877,[0],8,1
CLF,2,0.29987293,[0],8,1
CLF,3,0.31003812,[0],8,1
CLF,4,0.31130877,[0],8,1
EDN,0,0.3460838,[0],8,1
EDN,1,0.33151183,[0],8,1
EDN,2,0.33697632,[0],8,1
EDN,3,0.33333334,[0],8,1
EDN,4,0.3406193,[0],8,1
LL,0,0.35700575,[0],8,1
LL,1,0.3646833,[0],8,1
LL,2,0.3512476,[0],8,1
LL,3,0.35700575,[0],8,1
LL,4,0.36084452,[0],8,1
UAL,0,0.3633388,[0],8,1
UAL,1,0.35679215,[0],8,1
UAL,2,0.3633388,[0],8,1
UAL,3,0.35679215,[0],8,1
UAL,4,0.3715221,[0],8,1
CRK,0,0.3570521,[0],8,1
CRK,1,0.3303685,[0],8,1
CRK,2,0.34815755,[0],8,1
CRK,3,0.34434563,[0],8,1
CRK,4,0.33799237,[0],8,1
ORN,0,0.40503877,[0],8,1
ORN,1,0.3895349,[0],8,1
ORN,2,0.39922482,[0],8,1
ORN,3,0.4031008,[0],8,1
ORN,4,0.39922482,[0],8,1
BPI,0,0.38444445,[0],8,1
BPI,1,0.38444445,[0],8,1
BPI,2,0.3888889,[0],8,1
BPI,3,0.3888889,[0],8,1
BPI,4,0.38444445,[0],8,1
CLR,0,0.3901099,[0],8,1
CLR,1,0.36996338,[0],8,1
CLR,2,0.3901099,[0],8,1
CLR,3,0.37362638,[0],8,1
CLR,4,0.3864469,[0],8,1
HPR,0,0.36077845,[0],8,1
HPR,1,0.3473054,[0],8,1
HPR,2,0.35628742,[0],8,1
HPR,3,0.33383232,[0],8,1
HPR,4,0.35329342,[0],8,1
PRO,0,0.3962963,[0],8,1
PRO,1,0.39444444,[0],8,1
PRO,2,0.4074074,[0],8,1
PRO,3,0.4037037,[0],8,1
PRO,4,0.4,[0],8,1
VG,0,0.38655463,[0],8,1
VG,1,0.37815127,[0],8,1
VG,2,0.4067227,[0],8,1
VG,3,0.38319328,[0],8,1
VG,4,0.3764706,[0],8,1
FSM,0,0.3,[0],8,1
FSM,1,0.31707317,[0],8,1
FSM,2,0.30487806,[0],8,1
FSM,3,0.2804878,[0],8,1
FSM,4,0.2804878,[0],8,1
CAI,0,0.36080587,[0],8,1
CAI,1,0.36446887,[0],8,1
CAI,2,0.35897437,[0],8,1
CAI,3,0.36263737,[0],8,1
CAI,4,0.36080587,[0],8,1
TROX,0,0.4414634,[0],8,1
TROX,1,0.4707317,[0],8,1
TROX,2,0.4390244,[0],8,1
TROX,3,0.42682928,[0],8,1
TROX,4,0.4390244,[0],8,1
OAS,0,0.342711,[0],8,1
OAS,1,0.3043478,[0],8,1
OAS,2,0.30690536,[0],8,1
OAS,3,0.3043478,[0],8,1
OAS,4,0.33503836,[0],8,1
GFA,0,0.2954955,[0],8,1
GFA,1,0.3009009,[0],8,1
GFA,2,0.27747747,[0],8,1
GFA,3,0.2972973,[0],8,1
GFA,4,0.27207208,[0],8,1
BAS,0,0.23624596,[0],8,1
BAS,1,0.32686085,[0],8,1
BAS,2,0.27831715,[0],8,1
BAS,3,0.24595469,[0],8,1
BAS,4,0.2605178,[0],8,1
VRS,0,0.36666667,[0],8,1
VRS,1,0.34285715,[0],8,1
VRS,2,0.37857142,[0],8,1
VRS,3,0.34761906,[0],8,1
VRS,4,0.37619048,[0],8,1
PGTI,0,0.38135594,[0],8,1
PGTI,1,0.38474578,[0],8,1
PGTI,2,0.3779661,[0],8,1
PGTI,3,0.38644066,[0],8,1
PGTI,4,0.36949152,[0],8,1
DL,0,0.42680413,[0],8,1
